timestamp,ida1_clearing_price,ida2_clearing_price,ida3_clearing_price
2026-01-01 00:00:00,96.05,94.05,
2026-01-01 00:15:00,93.0,92.71,
2026-01-01 00:30:00,92.98,93.44,
2026-01-01 00:45:00,89.78,92.25,
2026-01-01 01:00:00,93.0,97.07,
2026-01-01 01:15:00,92.67,90.41,
2026-01-01 01:30:00,89.52,83.14,
2026-01-01 01:45:00,85.28,80.81,
2026-01-01 02:00:00,93.0,83.29,
2026-01-01 02:15:00,87.44,79.15,
2026-01-01 02:30:00,86.38,76.3,
2026-01-01 02:45:00,91.05,72.97,
2026-01-01 03:00:00,82.32,75.18,
2026-01-01 03:15:00,78.78,67.77,
2026-01-01 03:30:00,78.59,64.94,
2026-01-01 03:45:00,78.59,59.29,
2026-01-01 04:00:00,70.16,59.45,
2026-01-01 04:15:00,63.8,60.32,
2026-01-01 04:30:00,67.7,64.25,
2026-01-01 04:45:00,67.63,64.25,
2026-01-01 05:00:00,46.44,48.21,
2026-01-01 05:15:00,72.23,63.07,
2026-01-01 05:30:00,75.99,69.9,
2026-01-01 05:45:00,81.51,70.21,
2026-01-01 06:00:00,77.09,65.59,
2026-01-01 06:15:00,83.33,70.36,
2026-01-01 06:30:00,84.85,73.01,
2026-01-01 06:45:00,89.68,75.99,
2026-01-01 07:00:00,81.91,69.98,
2026-01-01 07:15:00,72.41,68.76,
2026-01-01 07:30:00,68.22,64.62,
2026-01-01 07:45:00,54.38,59.16,
2026-01-01 08:00:00,53.38,45.95,
2026-01-01 08:15:00,48.41,42.52,
2026-01-01 08:30:00,48.03,53.11,
2026-01-01 08:45:00,43.0,48.52,
2026-01-01 09:00:00,53.77,52.14,
2026-01-01 09:15:00,48.8,50.11,
2026-01-01 09:30:00,35.73,39.95,
2026-01-01 09:45:00,20.05,22.25,
2026-01-01 10:00:00,24.32,24.38,
2026-01-01 10:15:00,28.45,21.63,
2026-01-01 10:30:00,27.26,16.78,
2026-01-01 10:45:00,20.23,5.78,
2026-01-01 11:00:00,45.25,42.83,
2026-01-01 11:15:00,30.7,29.15,
2026-01-01 11:30:00,33.2,31.84,
2026-01-01 11:45:00,30.28,20.28,
2026-01-01 12:00:00,32.48,18.9,33.48
2026-01-01 12:15:00,36.06,15.7,35.06
2026-01-01 12:30:00,39.26,22.54,38.06
2026-01-01 12:45:00,42.42,34.63,36.69
2026-01-01 13:00:00,45.54,37.76,39.68
2026-01-01 13:15:00,45.48,37.08,44.33
2026-01-01 13:30:00,41.58,31.94,40.94
2026-01-01 13:45:00,40.67,32.96,39.96
2026-01-01 14:00:00,48.73,38.99,41.8
2026-01-01 14:15:00,63.83,54.88,62.78
2026-01-01 14:30:00,62.99,54.69,62.78
2026-01-01 14:45:00,77.27,80.27,78.16
2026-01-01 15:00:00,76.43,81.01,71.01
2026-01-01 15:15:00,79.29,86.08,76.08
2026-01-01 15:30:00,101.05,100.29,94.69
2026-01-01 15:45:00,127.98,118.02,102.17
2026-01-01 16:00:00,100.78,90.37,83.45
2026-01-01 16:15:00,102.89,95.52,91.04
2026-01-01 16:30:00,115.08,106.17,100.95
2026-01-01 16:45:00,85.28,95.7,87.5
2026-01-01 17:00:00,111.16,105.19,97.19
2026-01-01 17:15:00,108.27,100.75,95.48
2026-01-01 17:30:00,101.46,96.43,91.47
2026-01-01 17:45:00,107.13,100.71,93.96
2026-01-01 18:00:00,111.11,104.41,96.42
2026-01-01 18:15:00,110.31,107.11,95.5
2026-01-01 18:30:00,110.71,99.91,95.87
2026-01-01 18:45:00,100.15,92.83,95.49
2026-01-01 19:00:00,85.35,83.8,98.04
2026-01-01 19:15:00,95.99,89.9,97.59
2026-01-01 19:30:00,119.91,111.91,109.01
2026-01-01 19:45:00,128.41,115.85,107.85
2026-01-01 20:00:00,123.33,109.39,106.53
2026-01-01 20:15:00,120.75,109.78,106.89
2026-01-01 20:30:00,115.46,0.0,103.52
2026-01-01 20:45:00,98.14,84.65,94.19
2026-01-01 21:00:00,119.9,117.9,114.97
2026-01-01 21:15:00,117.27,117.27,114.41
2026-01-01 21:30:00,92.52,89.15,97.51
2026-01-01 21:45:00,90.61,86.11,82.04
2026-01-01 22:00:00,100.27,103.01,107.77
2026-01-01 22:15:00,119.63,119.63,117.41
2026-01-01 22:30:00,96.06,90.89,98.49
2026-01-01 22:45:00,90.42,84.93,98.41
2026-01-01 23:00:00,91.19,83.19,83.58
2026-01-01 23:15:00,89.37,81.37,82.82
2026-01-01 23:30:00,89.18,81.18,81.52
2026-01-01 23:45:00,87.98,82.0,82.0
2026-01-02 00:00:00,90.4,90.0,
2026-01-02 00:15:00,85.26,84.74,
2026-01-02 00:30:00,91.37,90.6,
2026-01-02 00:45:00,90.86,90.8,
2026-01-02 01:00:00,90.52,90.51,
2026-01-02 01:15:00,85.48,84.22,
2026-01-02 01:30:00,83.5,83.42,
2026-01-02 01:45:00,75.79,81.94,
2026-01-02 02:00:00,79.6,82.23,
2026-01-02 02:15:00,76.92,83.7,
2026-01-02 02:30:00,73.59,81.03,
2026-01-02 02:45:00,71.24,79.75,
2026-01-02 03:00:00,70.0,78.64,
2026-01-02 03:15:00,70.01,83.83,
2026-01-02 03:30:00,77.87,86.01,
2026-01-02 03:45:00,74.0,84.61,
2026-01-02 04:00:00,77.19,86.41,
2026-01-02 04:15:00,74.54,85.32,
2026-01-02 04:30:00,77.37,87.05,
2026-01-02 04:45:00,77.93,86.88,
2026-01-02 05:00:00,68.34,83.84,
2026-01-02 05:15:00,67.25,82.46,
2026-01-02 05:30:00,58.58,79.84,
2026-01-02 05:45:00,82.8,92.93,
2026-01-02 06:00:00,94.46,88.24,
2026-01-02 06:15:00,100.81,92.81,
2026-01-02 06:30:00,105.45,97.61,
2026-01-02 06:45:00,117.24,111.29,
2026-01-02 07:00:00,78.59,94.56,
2026-01-02 07:15:00,78.71,105.67,
2026-01-02 07:30:00,78.87,108.98,
2026-01-02 07:45:00,92.79,101.54,
2026-01-02 08:00:00,91.06,89.98,
2026-01-02 08:15:00,90.95,91.11,
2026-01-02 08:30:00,90.96,88.96,
2026-01-02 08:45:00,79.66,77.66,
2026-01-02 09:00:00,95.78,90.96,
2026-01-02 09:15:00,87.28,80.23,
2026-01-02 09:30:00,81.59,76.67,
2026-01-02 09:45:00,76.02,71.1,
2026-01-02 10:00:00,89.14,84.23,
2026-01-02 10:15:00,79.19,76.1,
2026-01-02 10:30:00,75.0,71.74,
2026-01-02 10:45:00,75.96,69.79,
2026-01-02 11:00:00,91.74,86.86,
2026-01-02 11:15:00,84.66,84.7,
2026-01-02 11:30:00,83.45,82.94,
2026-01-02 11:45:00,78.65,76.0,
2026-01-02 12:00:00,26.67,27.27,23.25
2026-01-02 12:15:00,55.5,54.86,51.94
2026-01-02 12:30:00,80.96,78.75,81.12
2026-01-02 12:45:00,90.32,78.73,83.29
2026-01-02 13:00:00,77.21,67.21,63.17
2026-01-02 13:15:00,81.55,70.59,81.47
2026-01-02 13:30:00,83.26,78.68,65.62
2026-01-02 13:45:00,88.5,85.65,86.87
2026-01-02 14:00:00,78.49,81.5,76.99
2026-01-02 14:15:00,88.52,94.96,96.47
2026-01-02 14:30:00,102.62,101.73,105.43
2026-01-02 14:45:00,113.77,106.35,109.4
2026-01-02 15:00:00,87.64,85.24,91.01
2026-01-02 15:15:00,98.65,98.94,103.82
2026-01-02 15:30:00,114.17,118.0,113.28
2026-01-02 15:45:00,130.03,129.5,115.56
2026-01-02 16:00:00,105.4,108.64,108.43
2026-01-02 16:15:00,118.92,119.58,113.13
2026-01-02 16:30:00,117.09,116.44,120.28
2026-01-02 16:45:00,115.9,117.96,124.9
2026-01-02 17:00:00,122.53,122.74,113.94
2026-01-02 17:15:00,114.24,113.0,111.08
2026-01-02 17:30:00,112.85,115.08,109.68
2026-01-02 17:45:00,112.59,113.09,110.35
2026-01-02 18:00:00,107.91,117.81,113.84
