timestamp,temperature,wind_100m,solar_radiation,cloud_cover
2023-01-01 00:00:00,7.7,4.3,0.0,0
2023-01-01 01:00:00,7.2,3.7,0.0,0
2023-01-01 02:00:00,6.2,3.4,0.0,0
2023-01-01 03:00:00,6.4,3.2,0.0,0
2023-01-01 04:00:00,6.1,5.6,0.0,0
2023-01-01 05:00:00,6.2,7.6,0.0,2
2023-01-01 06:00:00,6.1,8.8,0.0,3
2023-01-01 07:00:00,5.8,8.6,0.0,1
2023-01-01 08:00:00,5.9,7.1,0.0,2
2023-01-01 09:00:00,8.8,7.3,34.0,3
2023-01-01 10:00:00,11.8,7.2,125.0,2
2023-01-01 11:00:00,13.6,4.7,243.0,3
2023-01-01 12:00:00,14.8,7.0,339.0,3
2023-01-01 13:00:00,15.6,9.5,374.0,6
2023-01-01 14:00:00,16.5,14.0,318.0,35
2023-01-01 15:00:00,16.4,15.0,180.0,56
2023-01-01 16:00:00,15.9,15.2,93.0,79
2023-01-01 17:00:00,14.2,14.1,21.0,6
2023-01-01 18:00:00,12.1,13.8,0.0,1
2023-01-01 19:00:00,10.2,12.2,0.0,0
2023-01-01 20:00:00,8.7,10.7,0.0,0
2023-01-01 21:00:00,7.4,9.1,0.0,24
2023-01-01 22:00:00,6.6,9.7,0.0,61
2023-01-01 23:00:00,6.6,11.2,0.0,75
2023-01-02 00:00:00,7.0,12.6,0.0,92
2023-01-02 01:00:00,7.0,12.3,0.0,100
2023-01-02 02:00:00,6.7,8.7,0.0,100
2023-01-02 03:00:00,6.6,7.6,0.0,99
2023-01-02 04:00:00,6.8,6.8,0.0,98
2023-01-02 05:00:00,6.4,6.1,0.0,100
2023-01-02 06:00:00,6.6,6.5,0.0,100
2023-01-02 07:00:00,6.7,7.3,0.0,100
2023-01-02 08:00:00,6.8,7.3,0.0,100
2023-01-02 09:00:00,7.9,9.1,10.0,100
2023-01-02 10:00:00,9.7,8.3,57.0,62
2023-01-02 11:00:00,11.6,3.5,198.0,8
2023-01-02 12:00:00,13.2,4.8,357.0,4
2023-01-02 13:00:00,14.4,5.5,402.0,23
2023-01-02 14:00:00,15.9,4.0,365.0,12
2023-01-02 15:00:00,16.1,6.0,280.0,7
2023-01-02 16:00:00,15.3,10.2,165.0,7
2023-01-02 17:00:00,13.0,10.9,47.0,1
2023-01-02 18:00:00,13.6,7.7,0.0,0
2023-01-02 19:00:00,12.8,4.5,0.0,0
2023-01-02 20:00:00,9.3,3.8,0.0,0
2023-01-02 21:00:00,8.7,2.1,0.0,0
2023-01-02 22:00:00,8.1,3.2,0.0,0
2023-01-02 23:00:00,8.0,5.6,0.0,0
2023-01-03 00:00:00,9.3,5.2,0.0,0
2023-01-03 01:00:00,11.1,3.9,0.0,0
2023-01-03 02:00:00,6.2,2.5,0.0,0
2023-01-03 03:00:00,5.9,2.1,0.0,0
2023-01-03 04:00:00,5.8,2.3,0.0,0
2023-01-03 05:00:00,6.2,2.4,0.0,0
2023-01-03 06:00:00,6.8,1.9,0.0,0
2023-01-03 07:00:00,7.4,2.2,0.0,0
2023-01-03 08:00:00,8.2,1.1,0.0,0
2023-01-03 09:00:00,9.1,0.7,49.0,0
2023-01-03 10:00:00,10.9,1.1,173.0,0
2023-01-03 11:00:00,11.7,2.6,302.0,0
2023-01-03 12:00:00,12.3,4.6,382.0,0
2023-01-03 13:00:00,12.8,5.4,403.0,0
2023-01-03 14:00:00,13.6,7.6,372.0,0
2023-01-03 15:00:00,13.6,6.4,283.0,1
2023-01-03 16:00:00,13.2,4.5,170.0,0
2023-01-03 17:00:00,12.4,0.5,49.0,0
2023-01-03 18:00:00,11.4,0.8,0.0,0
2023-01-03 19:00:00,10.9,1.6,0.0,0
2023-01-03 20:00:00,12.1,2.3,0.0,0
2023-01-03 21:00:00,12.2,1.5,0.0,0
2023-01-03 22:00:00,12.1,1.1,0.0,0
2023-01-03 23:00:00,11.9,3.3,0.0,0
2023-01-04 00:00:00,11.2,4.1,0.0,0
2023-01-04 01:00:00,11.2,3.1,0.0,0
2023-01-04 02:00:00,8.1,1.5,0.0,0
2023-01-04 03:00:00,7.2,1.1,0.0,0
2023-01-04 04:00:00,6.1,2.3,0.0,3
2023-01-04 05:00:00,5.9,3.2,0.0,7
2023-01-04 06:00:00,6.1,2.6,0.0,0
2023-01-04 07:00:00,6.2,3.3,0.0,0
2023-01-04 08:00:00,6.2,2.5,0.0,1
2023-01-04 09:00:00,9.1,1.8,31.0,4
2023-01-04 10:00:00,11.7,1.0,120.0,3
2023-01-04 11:00:00,12.9,2.0,223.0,21
2023-01-04 12:00:00,13.9,4.8,325.0,9
2023-01-04 13:00:00,14.9,7.6,392.0,6
2023-01-04 14:00:00,15.6,7.7,368.0,5
2023-01-04 15:00:00,15.9,7.4,289.0,4
2023-01-04 16:00:00,15.6,6.9,170.0,1
2023-01-04 17:00:00,13.6,5.6,48.0,1
2023-01-04 18:00:00,11.1,9.0,0.0,4
2023-01-04 19:00:00,9.9,10.1,0.0,0
2023-01-04 20:00:00,8.4,11.0,0.0,5
2023-01-04 21:00:00,7.4,9.1,0.0,29
2023-01-04 22:00:00,7.2,9.0,0.0,36
2023-01-04 23:00:00,7.4,8.5,0.0,88
2023-01-05 00:00:00,7.2,9.4,0.0,100
2023-01-05 01:00:00,7.2,10.5,0.0,100
2023-01-05 02:00:00,7.9,13.0,0.0,100
2023-01-05 03:00:00,8.0,13.2,0.0,92
2023-01-05 04:00:00,8.2,12.0,0.0,91
2023-01-05 05:00:00,7.9,10.4,0.0,100
2023-01-05 06:00:00,7.7,9.9,0.0,100
2023-01-05 07:00:00,7.7,8.6,0.0,100
2023-01-05 08:00:00,7.7,7.2,0.0,100
2023-01-05 09:00:00,8.3,7.1,0.0,100
2023-01-05 10:00:00,9.9,5.4,28.0,78
2023-01-05 11:00:00,11.4,2.0,84.0,22
2023-01-05 12:00:00,12.8,5.1,301.0,10
2023-01-05 13:00:00,13.8,7.4,375.0,16
2023-01-05 14:00:00,14.4,13.7,291.0,21
2023-01-05 15:00:00,14.4,12.3,163.0,14
2023-01-05 16:00:00,13.9,8.0,120.0,0
2023-01-05 17:00:00,12.6,5.9,45.0,0
2023-01-05 18:00:00,11.5,4.6,0.0,0
2023-01-05 19:00:00,12.8,4.4,0.0,0
2023-01-05 20:00:00,13.0,6.1,0.0,10
2023-01-05 21:00:00,12.9,6.1,0.0,10
2023-01-05 22:00:00,12.7,6.5,0.0,4
2023-01-05 23:00:00,12.6,7.6,0.0,4
2023-01-06 00:00:00,12.1,9.1,0.0,1
2023-01-06 01:00:00,11.6,11.0,0.0,2
2023-01-06 02:00:00,11.3,7.9,0.0,2
2023-01-06 03:00:00,11.0,5.4,0.0,1
2023-01-06 04:00:00,10.6,3.3,0.0,0
2023-01-06 05:00:00,9.9,2.3,0.0,0
2023-01-06 06:00:00,7.7,2.8,0.0,0
2023-01-06 07:00:00,5.8,1.0,0.0,0
2023-01-06 08:00:00,5.1,2.3,0.0,3
2023-01-06 09:00:00,7.7,2.3,45.0,22
2023-01-06 10:00:00,11.9,2.3,160.0,1
2023-01-06 11:00:00,13.9,1.3,287.0,0
2023-01-06 12:00:00,14.9,3.3,369.0,0
2023-01-06 13:00:00,15.8,5.6,399.0,0
2023-01-06 14:00:00,16.1,8.0,373.0,0
2023-01-06 15:00:00,16.2,7.2,293.0,1
2023-01-06 16:00:00,16.3,7.8,176.0,0
2023-01-06 17:00:00,13.9,11.9,53.0,0
2023-01-06 18:00:00,11.5,8.4,1.0,0
2023-01-06 19:00:00,10.1,4.4,0.0,0
2023-01-06 20:00:00,9.1,4.2,0.0,0
2023-01-06 21:00:00,8.2,5.2,0.0,0
2023-01-06 22:00:00,7.4,6.6,0.0,0
2023-01-06 23:00:00,6.6,6.2,0.0,0
2023-01-07 00:00:00,6.2,4.7,0.0,0
2023-01-07 01:00:00,5.8,4.5,0.0,0
2023-01-07 02:00:00,5.9,3.3,0.0,0
2023-01-07 03:00:00,5.6,4.7,0.0,0
2023-01-07 04:00:00,5.1,6.4,0.0,0
2023-01-07 05:00:00,4.9,7.2,0.0,0
2023-01-07 06:00:00,4.8,8.4,0.0,0
2023-01-07 07:00:00,4.7,9.7,0.0,0
2023-01-07 08:00:00,4.8,10.8,0.0,0
2023-01-07 09:00:00,7.3,9.8,40.0,0
2023-01-07 10:00:00,11.8,8.7,146.0,0
2023-01-07 11:00:00,13.9,3.2,250.0,0
2023-01-07 12:00:00,15.1,0.5,368.0,16
2023-01-07 13:00:00,15.6,2.5,312.0,67
2023-01-07 14:00:00,16.4,6.0,253.0,55
2023-01-07 15:00:00,16.5,7.1,273.0,73
2023-01-07 16:00:00,15.6,10.2,108.0,100
2023-01-07 17:00:00,13.5,11.3,44.0,29
2023-01-07 18:00:00,13.9,6.5,0.0,13
2023-01-07 19:00:00,13.4,3.6,0.0,0
2023-01-07 20:00:00,9.5,4.3,0.0,1
2023-01-07 21:00:00,8.7,5.6,0.0,1
2023-01-07 22:00:00,8.0,5.4,0.0,2
2023-01-07 23:00:00,7.4,5.1,0.0,1
2023-01-08 00:00:00,7.1,5.2,0.0,2
2023-01-08 01:00:00,6.7,4.5,0.0,1
2023-01-08 02:00:00,5.9,4.0,0.0,0
2023-01-08 03:00:00,5.7,3.8,0.0,0
2023-01-08 04:00:00,5.6,6.0,0.0,0
2023-01-08 05:00:00,5.2,6.7,0.0,1
2023-01-08 06:00:00,5.1,6.8,0.0,2
2023-01-08 07:00:00,4.9,7.4,0.0,3
2023-01-08 08:00:00,5.3,8.6,0.0,5
2023-01-08 09:00:00,7.4,9.0,27.0,1
2023-01-08 10:00:00,10.9,9.5,88.0,0
2023-01-08 11:00:00,12.9,4.5,237.0,0
2023-01-08 12:00:00,14.2,3.7,346.0,21
2023-01-08 13:00:00,15.2,5.1,354.0,41
2023-01-08 14:00:00,15.9,9.2,309.0,60
2023-01-08 15:00:00,15.6,16.1,259.0,15
2023-01-08 16:00:00,14.6,15.5,164.0,20
2023-01-08 17:00:00,12.9,12.8,53.0,16
2023-01-08 18:00:00,12.2,9.6,1.0,10
2023-01-08 19:00:00,12.2,7.8,0.0,3
2023-01-08 20:00:00,10.4,5.1,0.0,0
2023-01-08 21:00:00,8.4,3.3,0.0,0
2023-01-08 22:00:00,8.2,3.9,0.0,0
2023-01-08 23:00:00,7.9,2.5,0.0,0
2023-01-09 00:00:00,7.7,1.9,0.0,0
2023-01-09 01:00:00,7.2,3.5,0.0,0
2023-01-09 02:00:00,7.8,4.4,0.0,0
2023-01-09 03:00:00,9.4,2.9,0.0,9
2023-01-09 04:00:00,8.9,2.8,0.0,0
2023-01-09 05:00:00,9.1,3.3,0.0,0
2023-01-09 06:00:00,9.4,3.2,0.0,0
2023-01-09 07:00:00,9.5,2.6,0.0,3
2023-01-09 08:00:00,9.4,2.2,0.0,0
2023-01-09 09:00:00,8.9,2.9,48.0,2
2023-01-09 10:00:00,10.8,3.0,164.0,3
2023-01-09 11:00:00,11.4,3.3,288.0,4
2023-01-09 12:00:00,12.2,3.5,375.0,4
2023-01-09 13:00:00,13.1,3.3,407.0,2
2023-01-09 14:00:00,13.8,6.7,380.0,0
2023-01-09 15:00:00,14.1,8.0,303.0,0
2023-01-09 16:00:00,14.1,10.2,181.0,0
2023-01-09 17:00:00,13.1,12.1,56.0,0
2023-01-09 18:00:00,11.7,16.9,1.0,0
2023-01-09 19:00:00,11.6,18.4,0.0,0
2023-01-09 20:00:00,10.9,17.4,0.0,17
2023-01-09 21:00:00,12.9,12.5,0.0,94
2023-01-09 22:00:00,12.6,9.5,0.0,100
2023-01-09 23:00:00,12.6,8.4,0.0,99
2023-01-10 00:00:00,12.9,13.5,0.0,100
2023-01-10 01:00:00,9.2,18.7,0.0,100
2023-01-10 02:00:00,10.2,18.7,0.0,97
2023-01-10 03:00:00,11.8,21.9,0.0,100
2023-01-10 04:00:00,12.6,22.7,0.0,94
2023-01-10 05:00:00,13.6,33.6,0.0,98
2023-01-10 06:00:00,14.2,36.4,0.0,100
2023-01-10 07:00:00,14.8,41.9,0.0,100
2023-01-10 08:00:00,14.9,51.2,0.0,100
