month,revenue,degradation,net_profit,discharge_hours,profit_per_hour
2024-02,361873.4380559511,90163.94134137536,271709.4967145757,142,474.18760334131883
2024-03,622261.530569641,113021.12019956156,509240.4103700795,183,687.2340220918752
2024-04,483899.2915996888,111565.00687573117,372334.28472395765,177,518.5714271921415
2024-05,781382.7476783658,115153.39355190076,666229.354126465,179,897.8832265855324
2024-06,925753.9642629069,108625.34684722236,817128.6174156845,177,1141.2410857760956
2024-07,1436563.9064090322,115057.00687573115,1321506.8995333011,180,1788.2366705457391
2024-08,1407361.1995174044,113909.50687573117,1293451.6926416734,179,1738.5103395721417
2024-09,1188956.89600597,110676.62019956156,1078280.2758064084,180,1497.6114941755673
2024-10,1039930.9216437994,115153.39355190076,924777.5280918987,179,1244.653469841048
2024-11,1225971.7687989138,109965.62019956156,1116006.1485993522,174,1550.0085397213224
2024-12,1154147.9768708039,114620.50687573115,1039527.4699950728,185,1397.214341391227
2025-01,1199893.2316493208,115153.39355190076,1084739.83809742,179,1457.9836533567475
2025-02,1157901.3841578572,103321.73352339196,1054579.650634465,164,1569.3149563012873
2025-03,1014779.2392240514,113376.62019956156,901402.6190244898,185,1211.5626599791528
2025-04,744865.214803257,111209.50687573117,633655.7079275259,174,880.0773721215637
2025-05,862869.7247905975,113909.50687573117,748960.2179148663,179,1006.6669595629924
2025-06,749099.7382322663,110676.62019956156,638423.1180327047,180,886.6987750454232
2025-07,750147.9852787594,115153.39355190076,634994.5917268586,179,853.4873544715842
2025-08,474530.93252858665,113021.12019956156,361509.8123290251,183,485.90028538847463
2025-09,703688.0015738421,111565.00687573117,592122.994698111,176,822.3930481918208
2025-10,956199.3973850447,115153.39355190076,841046.003833144,179,1130.438177195086
2025-11,820592.1015936068,109077.23352339196,711514.8680702148,178,988.215094541965
2025-12,891787.1169977612,115508.89355190076,776278.2234458604,181,1043.3847089326082
2026-01,802853.1342340772,113909.50687573117,688943.627358346,179,925.9994991375619
2026-02,144580.8809799049,19186.546704678392,125394.3342752265,31,1062.663849790055
